City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sitka,57.0531,-135.33,285.09,87,75,3.6,US,1686343239
1,aasiaat,68.7098,-52.8699,273.98,83,100,6.06,GL,1686343204
2,adamstown,-25.066,-130.1015,294.38,60,52,7.07,PN,1686343327
3,qaqortoq,60.7167,-46.0333,279.03,68,70,1.58,GL,1686343205
4,kandiari,26.9156,68.5216,304.36,59,0,9.49,PK,1686343328
5,waitangi,-43.9535,-176.5597,283.61,91,100,0.45,NZ,1686343329
6,alice springs,-23.7,133.8833,274.9,75,0,0.0,AU,1686343329
7,london,51.5085,-0.1257,295.13,68,4,3.09,GB,1686342928
8,iquique,-20.2208,-70.1431,292.17,74,6,2.96,CL,1686343173
9,port-aux-francais,-49.35,70.2167,278.46,71,20,8.9,TF,1686343330
10,hasaki,35.7333,140.8333,293.83,91,100,3.82,JP,1686343159
11,grand-fort-philippe,50.9996,2.1078,294.32,73,69,4.42,FR,1686343331
12,yelizovo,53.1873,158.3805,285.99,62,75,1.0,RU,1686343332
13,ribeira grande,38.5167,-28.7,293.37,60,20,4.47,PT,1686343333
14,ust-nera,64.5667,143.2,289.22,58,100,2.67,RU,1686343333
15,nemuro,43.3236,145.575,282.12,98,100,6.14,JP,1686343334
16,tura,25.5198,90.2201,296.61,96,100,2.67,IN,1686343334
17,kristinestad,62.2743,21.376,277.65,66,0,2.37,FI,1686343334
18,papatowai,-46.5619,169.4708,276.26,76,2,1.43,NZ,1686343335
19,hawaiian paradise park,19.5933,-154.9731,301.33,68,0,3.09,US,1686343335
20,iqaluit,63.7506,-68.5145,278.0,70,75,2.06,CA,1686343336
21,haiku-pauwela,20.9219,-156.3051,301.02,64,40,10.29,US,1686343336
22,pisco,-13.7,-76.2167,295.18,73,100,4.12,PE,1686343337
23,hermanus,-34.4187,19.2345,285.26,83,52,2.01,ZA,1686343337
24,udachny,66.4167,112.4,289.51,76,98,1.49,RU,1686343338
25,port lincoln,-34.7333,135.8667,286.4,71,72,2.73,AU,1686343153
26,nicoya,10.1483,-85.452,302.39,74,90,2.13,CR,1686343338
27,bethel,41.3712,-73.414,295.05,52,0,4.63,US,1686343339
28,margaret river,-33.95,115.0667,289.03,69,66,6.43,AU,1686343339
29,mancio lima,-7.6142,-72.8958,305.19,62,40,2.57,BR,1686343340
30,broceni,56.7,22.5333,283.12,61,62,4.05,LV,1686343340
31,tiksi,71.6872,128.8694,284.61,55,98,5.8,RU,1686343341
32,amursk,50.2261,136.8994,288.65,71,100,1.25,RU,1686343341
33,ixtapa,20.7,-105.2,304.39,65,20,6.17,MX,1686343342
34,thisted,56.9552,8.6949,286.92,85,89,4.84,DK,1686343342
35,caleta de carquin,-11.0925,-77.6267,295.76,72,10,5.64,PE,1686343342
36,blackmans bay,-43.0167,147.3167,284.11,66,65,7.08,AU,1686343343
37,gongzhuling,43.5008,124.8198,286.12,85,95,2.23,CN,1686343343
38,riasi,33.0833,74.8333,299.68,47,0,3.74,IN,1686343344
39,thompson,55.7435,-97.8558,289.24,51,40,3.6,CA,1686343341
40,college,64.8569,-147.8028,292.36,53,75,7.2,US,1686343345
41,hithadhoo,-0.6,73.0833,301.59,69,51,2.15,MV,1686343345
42,isafjordur,66.0755,-23.124,278.34,75,90,0.66,IS,1686343345
43,edinburgh of the seven seas,-37.0676,-12.3116,287.42,76,87,12.62,SH,1686343346
